id_student,text
11391,Working on the assignment
11391,I enjoy the course
28400,I am confused about the lecture
28400,Checking the forum
30268,Checking the forum
31604,Checking the forum
31604,I am falling behind
31604,I enjoy the course
31604,Checking the forum
31604,Working on the assignment
32885,I enjoy the course
32885,I am falling behind
32885,I like the assignments
38053,Reading course material
38053,Reading course material
38053,The lectures are clear
38053,This module is interesting
38053,I am confused about the lecture
45462,Submitted the quiz
45462,The assignment is too hard
45642,Submitted the quiz
45642,Reading course material
45642,I might drop this course
52130,Submitted the quiz
52130,I enjoy the course
52130,Checking the forum
52130,Checking the forum
52130,Checking the forum
53025,The assignment is too hard
53025,I enjoy the course
53025,This module is interesting
53025,Checking the forum
53025,I am confused about the lecture
57506,Reading course material
58873,I am confused about the lecture
58873,I am falling behind
58873,I am falling behind
58873,I enjoy the course
59185,I enjoy the course
59185,The lectures are clear
59185,Working on the assignment
59185,I might drop this course
59185,I am falling behind
62155,I am confused about the lecture
63400,I enjoy the course
63400,Submitted the quiz
63400,Submitted the quiz
63400,I am falling behind
63400,Reading course material
65002,Working on the assignment
70464,I am confused about the lecture
70464,I enjoy the course
70464,Reading course material
70464,I like the assignments
71361,I am falling behind
71361,I like the assignments
71361,I am confused about the lecture
74372,Submitted the quiz
74372,Submitted the quiz
74372,I am falling behind
74372,I am confused about the lecture
74372,The assignment is too hard
75091,I enjoy the course
75091,Reading course material
75091,The lectures are clear
77367,I am confused about the lecture
77367,Submitted the quiz
77367,I might drop this course
91265,I enjoy the course
91265,I am falling behind
91265,The assignment is too hard
91265,I am falling behind
91265,I might drop this course
94961,Reading course material
94961,I like the assignments
94961,I am confused about the lecture
94961,This module is interesting
94961,Submitted the quiz
98094,Checking the forum
98094,Working on the assignment
98094,I like the assignments
100893,The lectures are clear
100893,I am confused about the lecture
100893,This module is interesting
100893,The assignment is too hard
101781,I am falling behind
101781,Submitted the quiz
101781,Submitted the quiz
101781,The lectures are clear
102806,I am falling behind
102952,I like the assignments
102952,Working on the assignment
102952,Checking the forum
104476,The lectures are clear
104476,Reading course material
104476,I like the assignments
104476,Checking the forum
104476,The assignment is too hard
106247,The assignment is too hard
106577,The assignment is too hard
106577,This module is interesting
110175,I like the assignments
110175,The assignment is too hard
110175,I am falling behind
111717,The assignment is too hard
111717,Submitted the quiz
111717,The lectures are clear
111717,Working on the assignment
113295,The lectures are clear
113295,I enjoy the course
113295,Checking the forum
114017,I like the assignments
114017,I am falling behind
114017,I am falling behind
114017,Submitted the quiz
114017,The lectures are clear
114999,This module is interesting
114999,Reading course material
114999,I might drop this course
114999,The lectures are clear
116541,The lectures are clear
